Group,x,y,t,s
T,-12.11039173,-49.01764212,0,0
T,-1.373614726,-135.0903411,0,0
R,-12.50581685,253.3685981,0,0
S,3.987502079,-104.4178779,0,0
T,-37.72579837,-238.9416998,0,0
R,-1.579456495,316.8615002,0,1
T,-2.416476722,15.86800657,0,1
S,-54.12208945,-9.673433577,0,1
S,-18.98169224,-26.28548388,0,0
R,6.585406735,240.5278683,0,0
R,-29.84802647,86.1955236,0,1
S,-34.9386215,-39.15394914,0,0
T,-17.24281034,-367.4766921,0,0
T,-4.716464284,-280.0098717,0,0
R,-18.30461757,216.9923301,0,0
T,-7.858824173,-379.9708525,0,1
T,-27.48782001,-19.63306832,0,1
S,-13.64053019,-8.125040459,0,1
T,-28.19963525,-175.6597901,0,0
R,-7.183078622,99.38260396,0,1
U,-50.73124833,312.9209673,1,0
U,-22.80514401,-107.9714166,1,1
U,-26.3956916,-34.5796914,1,0
U,-29.67406309,-96.0229705,1,1
R,-14.37555679,329.3809891,0,0
T,-27.99433388,-218.6061501,0,1
U,-43.2390462,28.12956037,0,0
S,41.42892295,-399.9870526,1,0
S,-39.6800575,-129.3744848,0,1
U,0.358384682,-107.3502625,1,1
R,-16.33755206,202.9924028,0,0
S,-70.42978833,142.9539871,0,1
U,-7.778180397,-351.2364338,1,0
R,-35.37746499,381.781197,0,1
R,-18.18921474,225.0107327,0,0
U,6.000792738,-156.1964842,0,0
R,4.204121831,234.189744,0,0
T,-39.37097479,-225.7704847,0,1
U,-15.66207599,-279.4943808,1,1
T,-1.333535997,-93.35502625,0,1
S,6.655614743,-181.7126758,0,0
S,22.33169565,-189.0119535,0,0
S,13.11625928,-262.5344697,0,1
S,-13.1606423,-120.7614413,0,1
R,-6.545870081,202.726041,0,1
R,-0.612573496,198.6230336,0,0
S,-48.24795863,261.3114669,0,1
R,-8.737612611,100.2166142,0,1
T,-0.659285165,-231.192498,0,0
U,-5.107253758,52.16066661,1,1
S,-5.933407815,-186.2697514,0,1
T,-22.91237668,-196.4451699,0,0
T,-17.73812813,-157.3120291,0,1
R,-19.99865943,165.867075,0,0
R,-55.80485725,175.5839452,0,1
R,11.99333064,29.23396865,1,1
R,-9.691455859,199.173906,0,1
T,-22.60632043,45.84372163,0,0
S,-14.80285791,47.0124605,0,0
U,-17.6079899,-329.9919595,1,1
R,-15.57391668,254.6627142,0,1
R,-37.24974986,84.72156147,0,0
R,3.739100549,33.90395815,0,1
T,-16.52973486,-393.7855422,0,0
S,-9.070217241,-397.3851819,0,1
T,-9.717321916,15.09185729,0,1
S,-35.41621765,143.2731152,0,1
R,-24.081881,312.8420534,0,0
T,-2.155832601,-279.8321184,0,1
R,1.03549416,248.5606062,0,0
U,-11.09639725,-236.4587722,1,1
U,-39.03977234,-52.75226276,1,1
U,24.13841132,-194.5869395,0,0
U,-42.5729999,140.1892627,1,1
T,0.733758808,-385.0170205,0,1
U,-42.89684547,-24.18332463,0,1
S,10.3320199,-521.5140655,0,0
T,-18.48010468,-410.0740364,0,1
T,-19.94049517,-160.3657102,0,1
U,-36.48420849,-44.6518191,1,0
R,-1.02111127,26.93965998,0,1
U,-60.51275037,100.9234927,1,0
U,-54.40688705,59.91651601,1,1
R,5.550981254,-58.27058658,0,0
R,-24.04243554,55.98309929,0,0
U,-19.5226985,15.87145641,1,0
U,-15.45385938,-184.7337635,0,0
U,31.79797252,-647.2208251,1,0
R,-17.99090236,97.2618937,0,1
S,40.48599151,-264.756322,0,0
S,-14.76650616,-162.2984704,0,0
T,-20.12515832,-100.1845705,0,0
R,0.06605095,277.2680011,0,1
T,-20.12563232,-221.377503,0,1
T,-11.40832283,-222.8232977,0,0
T,-32.01217794,-332.1601588,0,1
U,-20.96470333,-178.0849838,0,0
S,-3.526605095,-59.0646574,0,1
S,-2.531750481,-192.9754092,0,1
T,1.882034742,-201.3233601,0,1
R,-11.8751367,51.58726112,0,0
T,-25.56296952,-9.797609431,0,0
T,-15.37642483,-214.094477,0,1
R,-9.73874514,90.79224691,0,0
S,-5.994675396,-149.3756535,0,1
S,-26.16283404,-199.0073947,0,1
R,-19.23151688,216.2325875,0,1
S,-41.66792348,14.97982677,0,0
T,-14.792295,-129.6530727,0,0
S,4.767828738,3.460306533,0,1
R,-13.62352364,141.6838354,0,1
R,-7.183438473,384.401218,0,1
S,4.682874777,-248.241532,0,1
S,-22.16113872,42.66357494,0,0
R,-7.780688872,334.8427536,0,0
U,-41.67826644,-95.3484892,1,1
U,33.36985746,-245.4645841,0,0
S,-16.85092847,-232.4376629,0,0
T,1.531266755,-327.2249008,0,1
R,11.27374139,-129.4262067,0,0
